layer_name,num_elements,sparsity
w_rels,5000,51.28
layer1.weight.anatomy_anatomy.weight,10000,49.5
layer1.weight.anatomy_anatomy.bias,100,38.0
layer1.weight.rev_anatomy_protein_absent.weight,10000,50.38
layer1.weight.rev_anatomy_protein_absent.bias,100,56.00000000000001
layer1.weight.rev_anatomy_protein_present.weight,10000,50.470000000000006
layer1.weight.rev_anatomy_protein_present.bias,100,40.0
layer1.weight.bioprocess_bioprocess.weight,10000,51.849999999999994
layer1.weight.bioprocess_bioprocess.bias,100,66.0
layer1.weight.rev_bioprocess_protein.weight,10000,50.260000000000005
layer1.weight.rev_bioprocess_protein.bias,100,36.0
layer1.weight.rev_exposure_bioprocess.weight,10000,50.94
layer1.weight.rev_exposure_bioprocess.bias,100,27.0
layer1.weight.cellcomp_cellcomp.weight,10000,50.61
layer1.weight.cellcomp_cellcomp.bias,100,45.0
layer1.weight.rev_cellcomp_protein.weight,10000,50.14999999999999
layer1.weight.rev_cellcomp_protein.bias,100,39.0
layer1.weight.rev_exposure_cellcomp.weight,10000,49.38
layer1.weight.rev_exposure_cellcomp.bias,100,56.99999999999999
layer1.weight.disease_disease.weight,10000,51.080000000000005
layer1.weight.disease_disease.bias,100,17.0
layer1.weight.disease_phenotype_negative.weight,10000,50.449999999999996
layer1.weight.disease_phenotype_negative.bias,100,33.0
layer1.weight.disease_phenotype_positive.weight,10000,51.5
layer1.weight.disease_phenotype_positive.bias,100,30.0
layer1.weight.rev_contraindication.weight,10000,51.13999999999999
layer1.weight.rev_contraindication.bias,100,35.0
layer1.weight.rev_disease_protein.weight,10000,50.260000000000005
layer1.weight.rev_disease_protein.bias,100,42.0
layer1.weight.rev_exposure_disease.weight,10000,48.74
layer1.weight.rev_exposure_disease.bias,100,31.0
layer1.weight.rev_indication.weight,10000,49.18
layer1.weight.rev_indication.bias,100,28.000000000000004
layer1.weight.rev_off-label use.weight,10000,49.85
layer1.weight.rev_off-label use.bias,100,34.0
layer1.weight.contraindication.weight,10000,49.89
layer1.weight.contraindication.bias,100,42.0
layer1.weight.drug_drug.weight,10000,51.33
layer1.weight.drug_drug.bias,100,8.0
layer1.weight.drug_effect.weight,10000,51.05
layer1.weight.drug_effect.bias,100,48.0
layer1.weight.drug_protein.weight,10000,50.78
layer1.weight.drug_protein.bias,100,51.0
layer1.weight.indication.weight,10000,50.27
layer1.weight.indication.bias,100,41.0
layer1.weight.off-label use.weight,10000,50.64999999999999
layer1.weight.off-label use.bias,100,48.0
