layer_name,num_elements,sparsity
_orig_mod.w_rels,5000,51.04
_orig_mod.layer1.weight.anatomy_anatomy.weight,10000,50.14999999999999
_orig_mod.layer1.weight.anatomy_anatomy.bias,100,42.0
_orig_mod.layer1.weight.rev_anatomy_protein_absent.weight,10000,50.56
_orig_mod.layer1.weight.rev_anatomy_protein_absent.bias,100,42.0
_orig_mod.layer1.weight.rev_anatomy_protein_present.weight,10000,50.12
_orig_mod.layer1.weight.rev_anatomy_protein_present.bias,100,49.0
_orig_mod.layer1.weight.bioprocess_bioprocess.weight,10000,50.79
_orig_mod.layer1.weight.bioprocess_bioprocess.bias,100,51.0
_orig_mod.layer1.weight.rev_bioprocess_protein.weight,10000,50.07
_orig_mod.layer1.weight.rev_bioprocess_protein.bias,100,46.0
_orig_mod.layer1.weight.rev_exposure_bioprocess.weight,10000,48.980000000000004
_orig_mod.layer1.weight.rev_exposure_bioprocess.bias,100,47.0
_orig_mod.layer1.weight.cellcomp_cellcomp.weight,10000,50.470000000000006
_orig_mod.layer1.weight.cellcomp_cellcomp.bias,100,44.0
_orig_mod.layer1.weight.rev_cellcomp_protein.weight,10000,49.93
_orig_mod.layer1.weight.rev_cellcomp_protein.bias,100,51.0
_orig_mod.layer1.weight.rev_exposure_cellcomp.weight,10000,49.44
_orig_mod.layer1.weight.rev_exposure_cellcomp.bias,100,53.0
_orig_mod.layer1.weight.disease_disease.weight,10000,49.97
_orig_mod.layer1.weight.disease_disease.bias,100,40.0
_orig_mod.layer1.weight.disease_phenotype_negative.weight,10000,49.25
_orig_mod.layer1.weight.disease_phenotype_negative.bias,100,53.0
_orig_mod.layer1.weight.disease_phenotype_positive.weight,10000,49.86
_orig_mod.layer1.weight.disease_phenotype_positive.bias,100,50.0
_orig_mod.layer1.weight.rev_contraindication.weight,10000,50.14999999999999
_orig_mod.layer1.weight.rev_contraindication.bias,100,60.0
_orig_mod.layer1.weight.rev_disease_protein.weight,10000,49.81
_orig_mod.layer1.weight.rev_disease_protein.bias,100,42.0
_orig_mod.layer1.weight.rev_exposure_disease.weight,10000,49.51
_orig_mod.layer1.weight.rev_exposure_disease.bias,100,45.0
_orig_mod.layer1.weight.rev_indication.weight,10000,50.19
_orig_mod.layer1.weight.rev_indication.bias,100,56.99999999999999
_orig_mod.layer1.weight.rev_off-label use.weight,10000,49.95
_orig_mod.layer1.weight.rev_off-label use.bias,100,53.0
_orig_mod.layer1.weight.contraindication.weight,10000,49.89
_orig_mod.layer1.weight.contraindication.bias,100,60.0
_orig_mod.layer1.weight.drug_drug.weight,10000,49.82
_orig_mod.layer1.weight.drug_drug.bias,100,53.0
_orig_mod.layer1.weight.drug_effect.weight,10000,50.1
_orig_mod.layer1.weight.drug_effect.bias,100,43.0
_orig_mod.layer1.weight.drug_protein.weight,10000,49.74
_orig_mod.layer1.weight.drug_protein.bias,100,50.0
_orig_mod.layer1.weight.indication.weight,10000,50.19
_orig_mod.layer1.weight.indication.bias,100,54.0
_orig_mod.layer1.weight.off-label use.weight,10000,49.91
_orig_mod.layer1.weight.off-label use.bias,100,44.0
_orig_mod.layer1.weight.phenotype_phenotype.weight,10000,50.12
_orig_mod.layer1.weight.phenotype_phenotype.bias,100,50.0
_orig_mod.layer1.weight.rev_disease_phenotype_negative.weight,10000,49.7
_orig_mod.layer1.weight.rev_disease_phenotype_negative.bias,100,53.0
_orig_mod.layer1.weight.rev_disease_phenotype_positive.weight,10000,49.93
_orig_mod.layer1.weight.rev_disease_phenotype_positive.bias,100,44.0
_orig_mod.layer1.weight.rev_drug_effect.weight,10000,49.87
_orig_mod.layer1.weight.rev_drug_effect.bias,100,46.0
_orig_mod.layer1.weight.rev_phenotype_protein.weight,10000,50.519999999999996
_orig_mod.layer1.weight.rev_phenotype_protein.bias,100,54.0
_orig_mod.layer1.weight.exposure_bioprocess.weight,10000,50.21
_orig_mod.layer1.weight.exposure_bioprocess.bias,100,50.0
_orig_mod.layer1.weight.exposure_cellcomp.weight,10000,50.760000000000005
_orig_mod.layer1.weight.exposure_cellcomp.bias,100,57.99999999999999
_orig_mod.layer1.weight.exposure_disease.weight,10000,51.1
_orig_mod.layer1.weight.exposure_disease.bias,100,50.0
_orig_mod.layer1.weight.exposure_exposure.weight,10000,50.519999999999996
_orig_mod.layer1.weight.exposure_exposure.bias,100,51.0
_orig_mod.layer1.weight.exposure_molfunc.weight,10000,50.14999999999999
_orig_mod.layer1.weight.exposure_molfunc.bias,100,51.0
_orig_mod.layer1.weight.exposure_protein.weight,10000,50.78
_orig_mod.layer1.weight.exposure_protein.bias,100,47.0
_orig_mod.layer1.weight.anatomy_protein_absent.weight,10000,49.95
_orig_mod.layer1.weight.anatomy_protein_absent.bias,100,57.99999999999999
_orig_mod.layer1.weight.anatomy_protein_present.weight,10000,49.8
_orig_mod.layer1.weight.anatomy_protein_present.bias,100,56.00000000000001
_orig_mod.layer1.weight.bioprocess_protein.weight,10000,50.449999999999996
_orig_mod.layer1.weight.bioprocess_protein.bias,100,54.0
_orig_mod.layer1.weight.cellcomp_protein.weight,10000,50.760000000000005
_orig_mod.layer1.weight.cellcomp_protein.bias,100,44.0
_orig_mod.layer1.weight.disease_protein.weight,10000,50.96000000000001
_orig_mod.layer1.weight.disease_protein.bias,100,47.0
_orig_mod.layer1.weight.molfunc_protein.weight,10000,49.669999999999995
_orig_mod.layer1.weight.molfunc_protein.bias,100,43.0
_orig_mod.layer1.weight.pathway_protein.weight,10000,50.38
_orig_mod.layer1.weight.pathway_protein.bias,100,51.0
_orig_mod.layer1.weight.phenotype_protein.weight,10000,49.45
_orig_mod.layer1.weight.phenotype_protein.bias,100,56.99999999999999
_orig_mod.layer1.weight.protein_protein.weight,10000,50.93
_orig_mod.layer1.weight.protein_protein.bias,100,52.0
_orig_mod.layer1.weight.rev_drug_protein.weight,10000,50.739999999999995
_orig_mod.layer1.weight.rev_drug_protein.bias,100,45.0
_orig_mod.layer1.weight.rev_exposure_protein.weight,10000,49.09
_orig_mod.layer1.weight.rev_exposure_protein.bias,100,52.0
_orig_mod.layer1.weight.molfunc_molfunc.weight,10000,50.61
_orig_mod.layer1.weight.molfunc_molfunc.bias,100,50.0
_orig_mod.layer1.weight.rev_exposure_molfunc.weight,10000,49.66
_orig_mod.layer1.weight.rev_exposure_molfunc.bias,100,53.0
_orig_mod.layer1.weight.rev_molfunc_protein.weight,10000,49.68
_orig_mod.layer1.weight.rev_molfunc_protein.bias,100,49.0
_orig_mod.layer1.weight.pathway_pathway.weight,10000,50.029999999999994
_orig_mod.layer1.weight.pathway_pathway.bias,100,40.0
_orig_mod.layer1.weight.rev_pathway_protein.weight,10000,50.89
_orig_mod.layer1.weight.rev_pathway_protein.bias,100,50.0
_orig_mod.layer2.weight.anatomy_anatomy.weight,10000,51.849999999999994
_orig_mod.layer2.weight.anatomy_anatomy.bias,100,39.0
_orig_mod.layer2.weight.rev_anatomy_protein_absent.weight,10000,48.91
_orig_mod.layer2.weight.rev_anatomy_protein_absent.bias,100,49.0
_orig_mod.layer2.weight.rev_anatomy_protein_present.weight,10000,49.370000000000005
_orig_mod.layer2.weight.rev_anatomy_protein_present.bias,100,56.99999999999999
_orig_mod.layer2.weight.bioprocess_bioprocess.weight,10000,49.86
_orig_mod.layer2.weight.bioprocess_bioprocess.bias,100,49.0
_orig_mod.layer2.weight.rev_bioprocess_protein.weight,10000,49.28
_orig_mod.layer2.weight.rev_bioprocess_protein.bias,100,45.0
_orig_mod.layer2.weight.rev_exposure_bioprocess.weight,10000,49.51
_orig_mod.layer2.weight.rev_exposure_bioprocess.bias,100,53.0
_orig_mod.layer2.weight.cellcomp_cellcomp.weight,10000,50.019999999999996
_orig_mod.layer2.weight.cellcomp_cellcomp.bias,100,48.0
_orig_mod.layer2.weight.rev_cellcomp_protein.weight,10000,50.0
_orig_mod.layer2.weight.rev_cellcomp_protein.bias,100,51.0
_orig_mod.layer2.weight.rev_exposure_cellcomp.weight,10000,49.830000000000005
_orig_mod.layer2.weight.rev_exposure_cellcomp.bias,100,46.0
_orig_mod.layer2.weight.disease_disease.weight,10000,49.480000000000004
_orig_mod.layer2.weight.disease_disease.bias,100,48.0
_orig_mod.layer2.weight.disease_phenotype_negative.weight,10000,50.93
_orig_mod.layer2.weight.disease_phenotype_negative.bias,100,47.0
_orig_mod.layer2.weight.disease_phenotype_positive.weight,10000,50.71
_orig_mod.layer2.weight.disease_phenotype_positive.bias,100,52.0
_orig_mod.layer2.weight.rev_contraindication.weight,10000,50.32
_orig_mod.layer2.weight.rev_contraindication.bias,100,46.0
_orig_mod.layer2.weight.rev_disease_protein.weight,10000,49.480000000000004
_orig_mod.layer2.weight.rev_disease_protein.bias,100,48.0
_orig_mod.layer2.weight.rev_exposure_disease.weight,10000,49.419999999999995
_orig_mod.layer2.weight.rev_exposure_disease.bias,100,44.0
_orig_mod.layer2.weight.rev_indication.weight,10000,50.160000000000004
_orig_mod.layer2.weight.rev_indication.bias,100,49.0
_orig_mod.layer2.weight.rev_off-label use.weight,10000,49.480000000000004
_orig_mod.layer2.weight.rev_off-label use.bias,100,48.0
_orig_mod.layer2.weight.contraindication.weight,10000,49.830000000000005
_orig_mod.layer2.weight.contraindication.bias,100,50.0
_orig_mod.layer2.weight.drug_drug.weight,10000,49.18
_orig_mod.layer2.weight.drug_drug.bias,100,52.0
_orig_mod.layer2.weight.drug_effect.weight,10000,49.91
_orig_mod.layer2.weight.drug_effect.bias,100,52.0
_orig_mod.layer2.weight.drug_protein.weight,10000,49.84
_orig_mod.layer2.weight.drug_protein.bias,100,49.0
_orig_mod.layer2.weight.indication.weight,10000,48.94
_orig_mod.layer2.weight.indication.bias,100,52.0
_orig_mod.layer2.weight.off-label use.weight,10000,50.29
_orig_mod.layer2.weight.off-label use.bias,100,46.0
_orig_mod.layer2.weight.phenotype_phenotype.weight,10000,50.18
_orig_mod.layer2.weight.phenotype_phenotype.bias,100,49.0
_orig_mod.layer2.weight.rev_disease_phenotype_negative.weight,10000,50.49
_orig_mod.layer2.weight.rev_disease_phenotype_negative.bias,100,44.0
_orig_mod.layer2.weight.rev_disease_phenotype_positive.weight,10000,50.07
_orig_mod.layer2.weight.rev_disease_phenotype_positive.bias,100,45.0
_orig_mod.layer2.weight.rev_drug_effect.weight,10000,50.029999999999994
_orig_mod.layer2.weight.rev_drug_effect.bias,100,51.0
_orig_mod.layer2.weight.rev_phenotype_protein.weight,10000,49.519999999999996
