layer_name,num_elements,sparsity
w_rels,5000,51.4
layer1.weight.anatomy_anatomy.weight,10000,50.92
layer1.weight.anatomy_anatomy.bias,100,53.0
layer1.weight.rev_anatomy_protein_absent.weight,10000,50.260000000000005
layer1.weight.rev_anatomy_protein_absent.bias,100,46.0
layer1.weight.rev_anatomy_protein_present.weight,10000,49.46
layer1.weight.rev_anatomy_protein_present.bias,100,47.0
layer1.weight.bioprocess_bioprocess.weight,10000,50.2
layer1.weight.bioprocess_bioprocess.bias,100,47.0
layer1.weight.rev_bioprocess_protein.weight,10000,50.41
layer1.weight.rev_bioprocess_protein.bias,100,45.0
layer1.weight.rev_exposure_bioprocess.weight,10000,49.480000000000004
layer1.weight.rev_exposure_bioprocess.bias,100,44.0
layer1.weight.cellcomp_cellcomp.weight,10000,49.94
layer1.weight.cellcomp_cellcomp.bias,100,49.0
layer1.weight.rev_cellcomp_protein.weight,10000,50.11
layer1.weight.rev_cellcomp_protein.bias,100,47.0
layer1.weight.rev_exposure_cellcomp.weight,10000,49.96
layer1.weight.rev_exposure_cellcomp.bias,100,49.0
layer1.weight.disease_disease.weight,10000,49.65
layer1.weight.disease_disease.bias,100,47.0
layer1.weight.disease_phenotype_negative.weight,10000,49.36
layer1.weight.disease_phenotype_negative.bias,100,49.0
layer1.weight.disease_phenotype_positive.weight,10000,49.99
layer1.weight.disease_phenotype_positive.bias,100,45.0
layer1.weight.rev_contraindication.weight,10000,50.49
layer1.weight.rev_contraindication.bias,100,48.0
layer1.weight.rev_disease_protein.weight,10000,50.21
layer1.weight.rev_disease_protein.bias,100,49.0
layer1.weight.rev_exposure_disease.weight,10000,50.43
layer1.weight.rev_exposure_disease.bias,100,49.0
layer1.weight.rev_indication.weight,10000,49.68
layer1.weight.rev_indication.bias,100,42.0
layer1.weight.rev_off-label use.weight,10000,50.54
layer1.weight.rev_off-label use.bias,100,50.0
layer1.weight.contraindication.weight,10000,49.62
layer1.weight.contraindication.bias,100,62.0
layer1.weight.drug_drug.weight,10000,49.69
layer1.weight.drug_drug.bias,100,50.0
layer1.weight.drug_effect.weight,10000,49.309999999999995
layer1.weight.drug_effect.bias,100,49.0
layer1.weight.drug_protein.weight,10000,50.370000000000005
layer1.weight.drug_protein.bias,100,43.0
layer1.weight.indication.weight,10000,49.02
layer1.weight.indication.bias,100,49.0
layer1.weight.off-label use.weight,10000,50.28
layer1.weight.off-label use.bias,100,52.0
layer1.weight.phenotype_phenotype.weight,10000,50.31
layer1.weight.phenotype_phenotype.bias,100,52.0
layer1.weight.rev_disease_phenotype_negative.weight,10000,49.8
layer1.weight.rev_disease_phenotype_negative.bias,100,54.0
layer1.weight.rev_disease_phenotype_positive.weight,10000,50.690000000000005
layer1.weight.rev_disease_phenotype_positive.bias,100,52.0
layer1.weight.rev_drug_effect.weight,10000,51.18000000000001
layer1.weight.rev_drug_effect.bias,100,53.0
layer1.weight.rev_phenotype_protein.weight,10000,49.45
layer1.weight.rev_phenotype_protein.bias,100,44.0
layer1.weight.exposure_bioprocess.weight,10000,50.160000000000004
layer1.weight.exposure_bioprocess.bias,100,54.0
layer1.weight.exposure_cellcomp.weight,10000,49.91
layer1.weight.exposure_cellcomp.bias,100,52.0
layer1.weight.exposure_disease.weight,10000,49.76
layer1.weight.exposure_disease.bias,100,55.00000000000001
layer1.weight.exposure_exposure.weight,10000,50.11
layer1.weight.exposure_exposure.bias,100,46.0
layer1.weight.exposure_molfunc.weight,10000,50.019999999999996
layer1.weight.exposure_molfunc.bias,100,41.0
layer1.weight.exposure_protein.weight,10000,50.31
layer1.weight.exposure_protein.bias,100,54.0
layer1.weight.anatomy_protein_absent.weight,10000,50.029999999999994
layer1.weight.anatomy_protein_absent.bias,100,54.0
layer1.weight.anatomy_protein_present.weight,10000,50.07
layer1.weight.anatomy_protein_present.bias,100,50.0
layer1.weight.bioprocess_protein.weight,10000,50.41
layer1.weight.bioprocess_protein.bias,100,46.0
layer1.weight.cellcomp_protein.weight,10000,50.4
layer1.weight.cellcomp_protein.bias,100,48.0
layer1.weight.disease_protein.weight,10000,51.01
layer1.weight.disease_protein.bias,100,49.0
layer1.weight.molfunc_protein.weight,10000,48.59
layer1.weight.molfunc_protein.bias,100,54.0
layer1.weight.pathway_protein.weight,10000,49.43
layer1.weight.pathway_protein.bias,100,45.0
layer1.weight.phenotype_protein.weight,10000,49.76
layer1.weight.phenotype_protein.bias,100,50.0
layer1.weight.protein_protein.weight,10000,50.31
layer1.weight.protein_protein.bias,100,42.0
layer1.weight.rev_drug_protein.weight,10000,50.7
layer1.weight.rev_drug_protein.bias,100,43.0
layer1.weight.rev_exposure_protein.weight,10000,49.44
layer1.weight.rev_exposure_protein.bias,100,56.99999999999999
layer1.weight.molfunc_molfunc.weight,10000,50.39
layer1.weight.molfunc_molfunc.bias,100,44.0
layer1.weight.rev_exposure_molfunc.weight,10000,49.4
layer1.weight.rev_exposure_molfunc.bias,100,55.00000000000001
layer1.weight.rev_molfunc_protein.weight,10000,49.72
layer1.weight.rev_molfunc_protein.bias,100,60.0
layer1.weight.pathway_pathway.weight,10000,50.18
layer1.weight.pathway_pathway.bias,100,55.00000000000001
layer1.weight.rev_pathway_protein.weight,10000,50.019999999999996
layer1.weight.rev_pathway_protein.bias,100,50.0
layer2.weight.anatomy_anatomy.weight,10000,49.85
layer2.weight.anatomy_anatomy.bias,100,46.0
layer2.weight.rev_anatomy_protein_absent.weight,10000,49.86
layer2.weight.rev_anatomy_protein_absent.bias,100,51.0
layer2.weight.rev_anatomy_protein_present.weight,10000,48.85
layer2.weight.rev_anatomy_protein_present.bias,100,49.0
layer2.weight.bioprocess_bioprocess.weight,10000,49.05
layer2.weight.bioprocess_bioprocess.bias,100,49.0
layer2.weight.rev_bioprocess_protein.weight,10000,49.18
layer2.weight.rev_bioprocess_protein.bias,100,52.0
layer2.weight.rev_exposure_bioprocess.weight,10000,49.72
layer2.weight.rev_exposure_bioprocess.bias,100,45.0
layer2.weight.cellcomp_cellcomp.weight,10000,49.16
layer2.weight.cellcomp_cellcomp.bias,100,53.0
layer2.weight.rev_cellcomp_protein.weight,10000,49.730000000000004
layer2.weight.rev_cellcomp_protein.bias,100,45.0
layer2.weight.rev_exposure_cellcomp.weight,10000,50.05
layer2.weight.rev_exposure_cellcomp.bias,100,56.00000000000001
layer2.weight.disease_disease.weight,10000,49.669999999999995
layer2.weight.disease_disease.bias,100,48.0
layer2.weight.disease_phenotype_negative.weight,10000,50.480000000000004
layer2.weight.disease_phenotype_negative.bias,100,50.0
layer2.weight.disease_phenotype_positive.weight,10000,50.519999999999996
layer2.weight.disease_phenotype_positive.bias,100,50.0
layer2.weight.rev_contraindication.weight,10000,48.92
layer2.weight.rev_contraindication.bias,100,56.99999999999999
layer2.weight.rev_disease_protein.weight,10000,50.77
layer2.weight.rev_disease_protein.bias,100,55.00000000000001
layer2.weight.rev_exposure_disease.weight,10000,49.6
layer2.weight.rev_exposure_disease.bias,100,50.0
layer2.weight.rev_indication.weight,10000,50.949999999999996
layer2.weight.rev_indication.bias,100,66.0
layer2.weight.rev_off-label use.weight,10000,49.59
layer2.weight.rev_off-label use.bias,100,54.0
layer2.weight.contraindication.weight,10000,50.29
layer2.weight.contraindication.bias,100,49.0
layer2.weight.drug_drug.weight,10000,49.7
layer2.weight.drug_drug.bias,100,51.0
layer2.weight.drug_effect.weight,10000,50.43
layer2.weight.drug_effect.bias,100,46.0
layer2.weight.drug_protein.weight,10000,50.68
layer2.weight.drug_protein.bias,100,65.0
layer2.weight.indication.weight,10000,49.78
layer2.weight.indication.bias,100,52.0
layer2.weight.off-label use.weight,10000,50.849999999999994
layer2.weight.off-label use.bias,100,50.0
layer2.weight.phenotype_phenotype.weight,10000,49.78
layer2.weight.phenotype_phenotype.bias,100,56.99999999999999
layer2.weight.rev_disease_phenotype_negative.weight,10000,50.54
layer2.weight.rev_disease_phenotype_negative.bias,100,50.0
layer2.weight.rev_disease_phenotype_positive.weight,10000,50.22
layer2.weight.rev_disease_phenotype_positive.bias,100,61.0
layer2.weight.rev_drug_effect.weight,10000,49.96
layer2.weight.rev_drug_effect.bias,100,41.0
layer2.weight.rev_phenotype_protein.weight,10000,49.39
layer2.weight.rev_phenotype_protein.bias,100,39.0
layer2.weight.exposure_bioprocess.weight,10000,50.54
layer2.weight.exposure_bioprocess.bias,100,50.0
layer2.weight.exposure_cellcomp.weight,10000,50.029999999999994
layer2.weight.exposure_cellcomp.bias,100,50.0
layer2.weight.exposure_disease.weight,10000,49.95
layer2.weight.exposure_disease.bias,100,53.0
layer2.weight.exposure_exposure.weight,10000,50.59
layer2.weight.exposure_exposure.bias,100,51.0
layer2.weight.exposure_molfunc.weight,10000,50.18
layer2.weight.exposure_molfunc.bias,100,61.0
layer2.weight.exposure_protein.weight,10000,50.690000000000005
layer2.weight.exposure_protein.bias,100,53.0
layer2.weight.anatomy_protein_absent.weight,10000,50.14999999999999
layer2.weight.anatomy_protein_absent.bias,100,56.00000000000001
layer2.weight.anatomy_protein_present.weight,10000,49.51
layer2.weight.anatomy_protein_present.bias,100,59.0
layer2.weight.bioprocess_protein.weight,10000,50.03999999999999
layer2.weight.bioprocess_protein.bias,100,53.0
layer2.weight.cellcomp_protein.weight,10000,49.95
layer2.weight.cellcomp_protein.bias,100,45.0
layer2.weight.disease_protein.weight,10000,50.06
