layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,13712209,49.98045172736209
_orig_mod.encoder.graph_layer_1.bias,3703,100.0
_orig_mod.encoder.graph_layer_2.weight,473984,50.07595193086687
_orig_mod.encoder.graph_layer_2.bias,128,100.0
_orig_mod.encoder.decoder_1.weight,13712209,49.99705736690565
_orig_mod.encoder.decoder_1.bias,3703,50.41857953011072
_orig_mod.encoder.decoder_2.weight,13712209,49.98530142007024
_orig_mod.encoder.decoder_2.bias,3703,50.63462057790981
_orig_mod.encoder.linear.weight,768,52.473958333333336
_orig_mod.encoder.linear.bias,6,50.0
