layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,13712209,50.01809701121096
_orig_mod.encoder.graph_layer_1.bias,3703,100.0
_orig_mod.encoder.graph_layer_2.weight,473984,49.94620071563597
_orig_mod.encoder.graph_layer_2.bias,128,100.0
_orig_mod.encoder.decoder_1.weight,13712209,49.99222225973948
_orig_mod.encoder.decoder_1.bias,3703,50.79665136375912
_orig_mod.encoder.decoder_2.weight,13712209,50.00331456441482
_orig_mod.encoder.decoder_2.bias,3703,50.0945179584121
_orig_mod.encoder.linear.weight,768,46.74479166666667
_orig_mod.encoder.linear.bias,6,33.33333333333333
