layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,13712209,54.0932682691753
_orig_mod.encoder.graph_layer_1.bias,3703,80.9883877936808
_orig_mod.encoder.graph_layer_2.weight,473984,49.79978227113151
_orig_mod.encoder.graph_layer_2.bias,128,60.15625
_orig_mod.encoder.decoder_1.weight,13712209,49.98662870439038
_orig_mod.encoder.decoder_1.bias,3703,50.0945179584121
_orig_mod.encoder.decoder_2.weight,13712209,47.49028402352969
_orig_mod.encoder.decoder_2.bias,3703,24.979746151768836
_orig_mod.encoder.linear.weight,768,48.17708333333333
_orig_mod.encoder.linear.bias,6,33.33333333333333
