layer_name,num_elements,sparsity
encoder.graph_layer_1.weight,13712209,53.92580436893866
encoder.graph_layer_1.bias,3703,82.17661355657575
encoder.graph_layer_2.weight,473984,50.24557790980286
encoder.graph_layer_2.bias,128,55.46875
encoder.decoder_1.weight,13712209,50.11228314854302
encoder.decoder_1.bias,3703,49.3653794220902
encoder.decoder_2.weight,13712209,45.03953374689665
encoder.decoder_2.bias,3703,21.766135565757494
encoder.linear.weight,768,48.828125
encoder.linear.bias,6,33.33333333333333
